id,x_studio_company_id/id,x_studio_sequence,x_name,x_active,x_studio_description,x_studio_group_type,x_studio_receivable_account/id,x_studio_payment_term/id
customer_group_cac,,10,CAC,1,Cash Customers,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade_1033,
customer_group_cent_issue,,10,CENT-ISSUE,1,Center Issues,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade_1033,Jinasena_MasterData_Accounting.account_payment_term_30_days
customer_group_distr,,10,DISTR,1,Distributors,Distributor,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade_1033,Jinasena_MasterData_Accounting.account_payment_term_60_days
customer_group_dlrs,,10,DLRS,1,Dealers,Dealer,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade_1033,Jinasena_MasterData_Accounting.account_payment_term_45_days
customer_group_expt,,10,EXPT,1,Exports,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade_1033,Jinasena_MasterData_Accounting.account_payment_term_60_days
customer_group_legal,,10,LEGAL,1,Customers having legal issues.,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade_1033,
customer_group_sbu1,,10,SBU1,1,SBU1 - Inter Companies,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade_1033,Jinasena_MasterData_Accounting.account_payment_term_30_days
customer_group_svat_cac,,10,SVAT-CAC,1,SVAT Registered Cash Customer,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade_1033,
customer_group_svat_crc,,10,SVAT-CRC,1,SVAT Registered Credit Customer,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade_1033,Jinasena_MasterData_Accounting.account_payment_term_10_days
customer_group_tc_sc,,10,TC-SC,1,Temporary Credit - Sales Centers,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade_1033,Jinasena_MasterData_Accounting.account_payment_term_30_days
customer_group_welfare,,10,WELFARE,1,Welfare Shop-Ekala,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade_1033,Jinasena_MasterData_Accounting.account_payment_term_30_days
customer_group_cac_211,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10,CAC,1,Cash Customers,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment
customer_group_cent_issue_212,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10,CENT-ISSUE,1,Center Issues,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade,Jinasena_MasterData_Accounting.account_payment_term_30_days_276
customer_group_distr_213,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10,DISTR,1,Distributors,Distributor,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade,Jinasena_MasterData_Accounting.account_payment_term_60_days_278
customer_group_dlrs_214,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10,DLRS,1,Dealers,Dealer,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade,Jinasena_MasterData_Accounting.account_payment_term_45_days_277
customer_group_expt_215,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10,EXPT,1,Exports,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade,Jinasena_MasterData_Accounting.account_payment_term_60_days_278
customer_group_legal_216,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10,LEGAL,1,Customers having legal issues.,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment
customer_group_sbu1_217,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10,SBU1,1,SBU1 - Inter Companies,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_inter_companies,Jinasena_MasterData_Accounting.account_payment_term_30_days_276
customer_group_svat_cac_218,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10,SVAT-CAC,1,SVAT Registered Cash Customer,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade,Jinasena_MasterData_Accounting.account_payment_term_immediate_payment
customer_group_svat_crc_219,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10,SVAT-CRC,1,SVAT Registered Credit Customer,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade,Jinasena_MasterData_Accounting.account_payment_term_10_days_272
customer_group_tc,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10,TC,1,Temporary Credit,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade,Jinasena_MasterData_Accounting.account_payment_term_30_days_276
customer_group_welfare_221,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10,WELFARE,1,Welfare Shop-Ekala,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade,Jinasena_MasterData_Accounting.account_payment_term_30_days_276
customer_group_comm,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,10,COMM,1,Commission Partners,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade,Jinasena_MasterData_Accounting.account_payment_term_30_days_276
customer_group_comm_223,,10,COMM,1,Commission Partners,General,Jinasena_MasterData_Accounting.account_account_debtors_ledger_control_trade_1033,Jinasena_MasterData_Accounting.account_payment_term_30_days
